"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"11634","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/264636","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","07-Apr-2026","Ramdhan meena","Payment Success","7800"
"11635","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/264636","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","07-Apr-2026","Manbhari devi","Payment Success","2280"
"11636","Arunachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP533/2025-2026/260049","PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA)","Kiren Rijiju","ARUNACHAL WEST","23-Mar-2026","Toko Yami Teli","Payment Success","6000"
"11637","Jammu And Kashmir","Providing sports equipment, except consumable items","WS/MP18379/2025-2026/259220","KUPWARA(Deputy Commissioner Kupwara_IDA)","ABDUL RASHID SHEIKH","BARAMULLAH","16-Mar-2026","IRAM ENTERPRISES","Payment Success","198720"
"11638","Karnataka","Lighting of public spaces","WS/MP18079/2025-2026/197349","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","SAGAR ESHWAR KHANDRE","BIDAR","15-Apr-2026","VEERESH","Payment Success","374250"
"11639","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18079/2025-2026/165393","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","SAGAR ESHWAR KHANDRE","BIDAR","15-Jul-2026","VEERESH","Payment Success","374250"
"11640","Karnataka","Construction of community centers and community halls","WS/MP18079/2025-2026/210158","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","SAGAR ESHWAR KHANDRE","BIDAR","15-Apr-2026","AMAR","Payment Success","374250"
"11641","West Bengal","Purchase of equipment for crèches and anganwadies","WS/MP484/2025-2026/253728","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Mala Roy","KOLKATA DAKSHIN","20-Aug-2026","ANAMICA ENTERPRISE","Payment Success","145661"
"11642","West Bengal","Lighting of public spaces","WS/MP18251/2025-2026/196829","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","SAYANI GHOSH","JADAVPUR","16-Mar-2026","ANAMICA ENTERPRISE","Payment Success","795828"
"11643","West Bengal","Lighting of public spaces","WS/MP18251/2025-2026/196827","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","SAYANI GHOSH","JADAVPUR","16-Mar-2026","ANAMICA ENTERPRISE","Payment Success","796330"
"11644","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18112/2025-2026/233413","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","22-Mar-2026","TUSHAR SUBHASHRAO THAKARE","Payment Success","998775"
"11645","Punjab","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18154/2025-2026/219554","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","17-Mar-2026","S SCEMENT PIPE FACTORY","Payment Success","302500"
"11646","Mizoram","Construction of community centers and community halls","WS/MP18138/2025-2026/217434","LAWNGTLAI(DSC Lawngtlai)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","14-Jul-2026","V LALRINKIMI","Payment Success","250000"
"11647","Mizoram","Construction of community centers and community halls","WS/MP18138/2025-2026/217434","LAWNGTLAI(DSC Lawngtlai)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","17-Mar-2026","V LALRINKIMI","Payment Success","250000"
"11648","Punjab","Street lights","WS/MP18314/2025-2026/190993","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","27-Mar-2026","MEGA INTERPRISE","Payment Success","101775"
"11649","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP351/2025-2026/169099","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Kumbakudi Sudhakaran","KANNUR","17-Mar-2026","JOHN V P","Payment Success","423646"
"11650","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18160/2025-2026/225222","BARMER(DISTRICT COLLECTOR BARMER_IDA)","UMMEDA RAM BENIWAL","BARMER","18-Mar-2026","SMC GSSS PHUSANION KA TALLA","Payment Success","550000"
"11651","Kerala","Purchase of vans and buses for educational institutions","WS/MP18423/2025-2026/199773","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Priyanka Gandhi Vadra","WAYANAD","24-Mar-2026","HM GUPS PULLIYIL","Payment Success","35884"
"11652","Kerala","Purchase of vans and buses for educational institutions","WS/MP18097/2025-2026/196250","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","SHAFI PARAMBIL","VADAKARA","18-Mar-2026","Vinodan C","Payment Success","100500"
"11653","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18314/2025-2026/190977","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","17-Mar-2026","Vihavkarma Marble Industries Barnala","Payment Success","4430"
"11654","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/195381","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","27-Mar-2026","JAI KISSAN BKO","Payment Success","43857"
"11655","Karnataka","Construction of buildings for crèches and anganwadies","WS/MP18086/2025-2026/211901","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","SHREYAS. M. PATEL","HASSAN","24-Mar-2026","A NAVEEN","Payment Success","375000"
"11656","Karnataka","Construction of buildings for crèches and anganwadies","WS/MP18086/2025-2026/211901","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","SHREYAS. M. PATEL","HASSAN","17-Aug-2026","A NAVEEN","Payment Success","119728"
"11657","Maharashtra","Construction of community centers and community halls","WS/MP18133/2025-2026/148475","SATARA(DISTRICT COLLECTOR SATARA_IDA)","SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE","SATARA","22-Mar-2026","Vikram Vishwas Patil","Payment Success","750000"
"11658","Kerala","Purchase of books and periodicals for libraries/digitization of library books","WS/MP350/2025-2026/239357","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Rajmohan Unnithan","KASARAGOD","14-May-2026","DIRECTOR STATE INSTITUTE OF LANGUAGES","Payment Success","110000"
"11659","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/200718","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","25-Mar-2026","BANSAL BRICKS COMPANY","Payment Success","24781"
"11660","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/200718","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","25-Mar-2026","BANSAL BRICKS COMPANY","Payment Success","26186"
"11661","Kerala","Purchase of books and periodicals for libraries/digitization of library books","WS/MP350/2025-2026/239357","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Rajmohan Unnithan","KASARAGOD","14-May-2026","KERALA SAHITYA ACADEMY","Payment Success","34998"
"11662","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP381/2025-2026/226995","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","17-Mar-2026","SLH Traders","Payment Success","42332"
"11663","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP381/2025-2026/227412","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","17-Mar-2026","SLH Traders","Payment Success","143720"
"11664","Punjab","Street lights","WS/MP381/2025-2026/257683","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","25-Mar-2026","SLH Traders","Payment Success","100000"
"11665","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18156/2025-2026/185272","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","20-Mar-2026","KALER BRICKS COMPANY","Payment Success","180400"
"11666","Haryana","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18064/2025-2026/214209","YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA)","NAVEEN JINDAL","KURUKSHETRA","17-Mar-2026","THE SHREE JI COOP L AND C SOCIETY LTD","Payment Success","208926"
"11667","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP381/2025-2026/227412","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","17-Mar-2026","KALER TILE FACTORY","Payment Success","235135"
"11668","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP381/2025-2026/226995","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","17-Mar-2026","KALER TILE FACTORY","Payment Success","114700"
"11669","Kerala","Construction of footpaths and pedestrian ways","WS/MP18305/2025-2026/182583","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","E.T. MOHAMMED BASHEER","MALAPPURAM","06-May-2026","Kunhimoidu K K","Payment Success","255949"
"11670","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP381/2025-2026/227412","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","17-Mar-2026","GURDEEP SINGH","Payment Success","78000"
"11671","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP381/2025-2026/227412","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","10-Apr-2026","GURDEEP SINGH","Payment Success","22145"
"11672","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP381/2025-2026/227412","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","17-Mar-2026","GURU RAMDASS BRICKS CO","Payment Success","21000"
"11673","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP381/2025-2026/226995","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","17-Mar-2026","GURWINDER SINGH","Payment Success","42968"
"11674","Kerala","Purchase of books and periodicals for libraries/digitization of library books","WS/MP350/2025-2026/239357","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Rajmohan Unnithan","KASARAGOD","14-May-2026","NATIONAL BOOK STALL","Payment Success","30000"
"11675","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP524/2025-2026/215309","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Midhun Reddy","RAJAMPET","18-Mar-2026","T Sai Sumanth Reddy","Payment Success","399768"
"11676","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP524/2025-2026/215310","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Midhun Reddy","RAJAMPET","18-Mar-2026","T Sai Sumanth Reddy","Payment Success","397190"
"11677","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP524/2025-2026/215311","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Midhun Reddy","RAJAMPET","18-Mar-2026","T Sai Sumanth Reddy","Payment Success","191444"
"11678","Delhi","Providing CCTV camera system for security of public areas","WS/MP18400/2025-2026/230683","WEST(COMMISSIONER MCD WEST)","Kamaljeet Sehrawat","WEST DELHI","02-Apr-2026","SPYVISION SOLUTIONS AND TECHNOLOGY PVT LTD","Payment Success","934620"
"11679","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP499/2025-2026/234177","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Smt Satabdi Roy (Banerjee)","BIRBHUM","26-Mar-2026","GAZI RAHAMAN","Payment Success","703360"
"11680","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/219612","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","17-Mar-2026","JAGSEER SINGH","Payment Success","200000"
"11681","Kerala","Purchase of books and periodicals for libraries/digitization of library books","WS/MP350/2025-2026/239357","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Rajmohan Unnithan","KASARAGOD","14-May-2026","ATHULYA BOOKS","Payment Success","20000"
"11682","Meghalaya","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18137/2025-2026/233792","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","ANDREW J. SYNGKON","SHILLONG","22-May-2026","Societyof empowerment education development","Payment Success","200000"
"11683","Madhya Pradesh","Construction of community centers and community halls","WS/MP444/2025-2026/252366","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","06-Jul-2026","KALYANI TRADERS PROP GAGENDRA KHALATKAR","Payment Success","54000"
"11684","Madhya Pradesh","Construction of community centers and community halls","WS/MP444/2025-2026/252366","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","06-Jul-2026","KALYANI TRADERS PROP GAGENDRA KHALATKAR","Payment Success","97058"
"11685","Haryana","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18064/2025-2026/167851","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","NAVEEN JINDAL","KURUKSHETRA","24-Mar-2026","MS GAURAV CONTRACTOR","Payment Success","271948"
"11686","Madhya Pradesh","Construction of community centers and community halls","WS/MP444/2025-2026/252366","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","06-Jul-2026","SHISHUPAAL HARODE","Payment Success","5600"
"11687","Madhya Pradesh","Construction of community centers and community halls","WS/MP444/2025-2026/252366","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","06-Jul-2026","NIRMALA MANIKRAO THAKRE","Payment Success","5600"
"11688","Madhya Pradesh","Construction of community centers and community halls","WS/MP444/2025-2026/252366","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","06-Jul-2026","MANIKRAO THAKRE","Payment Success","5600"
"11689","Madhya Pradesh","Construction of community centers and community halls","WS/MP444/2025-2026/252366","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","06-Jul-2026","NIRMALA AMRUTE","Payment Success","5600"
"11690","Madhya Pradesh","Construction of community centers and community halls","WS/MP444/2025-2026/252366","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","06-Jul-2026","NIKITA PRAKASHSING ROTWAL","Payment Success","5600"
"11691","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/222552","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","02-Apr-2026","Munavath Raju","Payment Success","499610"
"11692","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/222556","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","02-Apr-2026","Munavath Raju","Payment Success","499203"
"11693","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/222555","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","02-Apr-2026","Munavath Raju","Payment Success","500000"
"11694","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/222554","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","02-Apr-2026","Munavath Raju","Payment Success","499446"
"11695","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/222551","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","02-Apr-2026","Munavath Raju","Payment Success","499996"
"11696","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/204126","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","01-Apr-2026","Munavath Raju","Payment Success","499962"
"11697","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/204127","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","01-Apr-2026","Munavath Raju","Payment Success","499999"
"11698","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/222553","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","13-Jul-2026","Munavath Raju","Payment Success","499999"
"11699","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/222550","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","13-Jul-2026","Munavath Raju","Payment Success","499999"
"11700","Telangana","Installing tube-wells and borewells","WS/MP18188/2025-2026/210428","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","09-Apr-2026","Munavath Raju","Payment Success","183228"
"11701","Telangana","Installing tube-wells and borewells","WS/MP18188/2025-2026/210430","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","09-Apr-2026","Munavath Raju","Payment Success","130981"
"11702","Telangana","Installing tube-wells and borewells","WS/MP18188/2025-2026/210431","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","09-Apr-2026","Munavath Raju","Payment Success","181660"
"11703","Telangana","Installing tube-wells and borewells","WS/MP18188/2025-2026/210429","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","09-Apr-2026","Munavath Raju","Payment Success","177337"
