"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"18000","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254531","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18001","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254540","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18002","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254539","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18003","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254535","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18004","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254538","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18005","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254536","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18006","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254534","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18007","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254537","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18008","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254546","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18009","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254541","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18010","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254542","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18011","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254543","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18012","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254544","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18013","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/256295","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18014","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/256296","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18015","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/256297","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"18016","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/248463","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","06-Feb-2026","MR CONSTRUCTION","Payment Success","174129"
"18017","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/248457","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","06-Feb-2026","MR CONSTRUCTION","Payment Success","174129"
"18018","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/248459","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","06-Feb-2026","MR CONSTRUCTION","Payment Success","174129"
"18019","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/248461","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","06-Feb-2026","MR CONSTRUCTION","Payment Success","174129"
"18020","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/248465","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","06-Feb-2026","MR CONSTRUCTION","Payment Success","174129"
"18021","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/248466","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","06-Feb-2026","MR CONSTRUCTION","Payment Success","174129"
"18022","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/248469","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","06-Feb-2026","MR CONSTRUCTION","Payment Success","174129"
"18023","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/248470","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","06-Feb-2026","MR CONSTRUCTION","Payment Success","174129"
"18024","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/248471","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","06-Feb-2026","MR CONSTRUCTION","Payment Success","174129"
"18025","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/248476","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","06-Feb-2026","MR CONSTRUCTION","Payment Success","174129"
"18026","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/249373","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","06-Feb-2026","MR CONSTRUCTION","Payment Success","174129"
"18027","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/248475","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","06-Feb-2026","MR CONSTRUCTION","Payment Success","174129"
