work_id,anomaly_prediction,is_anomaly,anomaly_score,lof_prediction,lof_is_anomaly,lof_score,both_models_anomaly,any_model_anomaly,if_normalized_score,lof_normalized_score,if_risk_score,lof_risk_score,combined_anomaly_score,ensemble_is_anomaly,ensemble_risk_level,rule_risk_score,rule_risk_level,risk_factors,recommended_actions,risk_factor_count,recommended_amount,sanction_amount,total_expenditure,expenditure_ratio,financial_risk_score,financial_risk_level,financial_risk_factors,ensemble_ai_score,final_ai_risk_score,final_ai_risk_level
WS/MP485/2024-2025/134838,1,0,0.217694607487705,1,0,-0.9962574123879,0,0,0.9525847236390076,0.9999999999999998,0.0474152763609924,2.220446049250313e-16,0.0284491658165955,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,249625.0,249625.0,249625.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.741527636099076,7.37,LOW
WS/MP18271/2025-2026/135003,1,0,0.1876972818317436,1,0,-0.9942002265165368,0,0,0.8823911860959821,0.9999999999999998,0.1176088139040179,2.220446049250313e-16,0.0705652883424108,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,586716.0,586716.0,556337.0,0.9482219676981708,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",11.760881390401533,10.88,LOW
WS/MP18271/2025-2026/135004,1,0,0.1879227854858692,1,0,-0.9942002265165288,0,0,0.8829188631093765,0.9999999999999998,0.1170811368906235,2.220446049250313e-16,0.0702486821343741,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,586716.0,586716.0,556369.0,0.9482765085663252,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",11.708113689062085,10.85,LOW
WS/MP18271/2025-2026/135005,1,0,0.1879227854858692,1,0,-0.9942002265165284,0,0,0.8829188631093765,0.9999999999999998,0.1170811368906235,2.220446049250313e-16,0.0702486821343741,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,586716.0,586716.0,556365.0,0.9482696909578058,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",11.708113689062085,10.85,LOW
WS/MP18271/2025-2026/135006,1,0,0.1879227854858692,1,0,-0.9942002265165284,0,0,0.8829188631093765,0.9999999999999998,0.1170811368906235,2.220446049250313e-16,0.0702486821343741,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,586716.0,586716.0,556365.0,0.9482696909578058,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",11.708113689062085,10.85,LOW
WS/MP18271/2025-2026/135007,1,0,0.1879227854858692,1,0,-0.9942002265165284,0,0,0.8829188631093765,0.9999999999999998,0.1170811368906235,2.220446049250313e-16,0.0702486821343741,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,586716.0,586716.0,556365.0,0.9482696909578058,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",11.708113689062085,10.85,LOW
WS/MP18271/2025-2026/135008,1,0,0.1876972818317436,1,0,-0.9942002265165368,0,0,0.8823911860959821,0.9999999999999998,0.1176088139040179,2.220446049250313e-16,0.0705652883424108,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,586716.0,586716.0,556337.0,0.9482219676981708,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",11.760881390401533,10.88,LOW
WS/MP18271/2025-2026/135009,1,0,0.1876972818317436,1,0,-0.9942002265165368,0,0,0.8823911860959821,0.9999999999999998,0.1176088139040179,2.220446049250313e-16,0.0705652883424108,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,586716.0,586716.0,556337.0,0.9482219676981708,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",11.760881390401533,10.88,LOW
WS/MP18271/2025-2026/135010,1,0,0.1876972818317436,1,0,-0.9942002265165368,0,0,0.8823911860959821,0.9999999999999998,0.1176088139040179,2.220446049250313e-16,0.0705652883424108,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,586716.0,586716.0,556337.0,0.9482219676981708,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",11.760881390401533,10.88,LOW
WS/MP18271/2025-2026/135011,1,0,0.1876972818317436,1,0,-0.9942002265165368,0,0,0.8823911860959821,0.9999999999999998,0.1176088139040179,2.220446049250313e-16,0.0705652883424108,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,586716.0,586716.0,556337.0,0.9482219676981708,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",11.760881390401533,10.88,LOW
WS/MP18271/2025-2026/135012,1,0,0.1879227854858692,1,0,-0.9942002265165284,0,0,0.8829188631093765,0.9999999999999998,0.1170811368906235,2.220446049250313e-16,0.0702486821343741,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,586716.0,586716.0,556365.0,0.9482696909578058,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",11.708113689062085,10.85,LOW
WS/MP345/2024-2025/135013,1,0,0.0059089403039671,1,0,-1.3122084005037933,0,0,0.4570077061730502,0.9999999999999988,0.5429922938269498,1.2212453270876722e-15,0.3257953762961704,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,2500000.0,2500000.0,1325973.0,0.5303892,0.0,HIGH,"['Project expenditure is unusually high compared to other projects', 'High payment concentration per vendor', 'Large number of payments concentrated among very few vendors', 'Multiple financial risk indicators detected simultaneously']",54.299229382694236,30.15,MEDIUM
WS/MP18271/2025-2026/135160,1,0,0.1876972818317436,1,0,-0.9942002265165368,0,0,0.8823911860959821,0.9999999999999998,0.1176088139040179,2.220446049250313e-16,0.0705652883424108,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,586716.0,586716.0,556337.0,0.9482219676981708,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",11.760881390401533,10.88,LOW
